Id,Designator,Package,Qty,Designation
3,D2,LED-0603,1,Blue
4,D3,LED-0603,1,LED
5,C1,C_1206,1,100uF
6,C2,C_0603,1,100nF
7,"C3,C6,C8,C7",C_0603,4,0.1uF
8,"C4,C5",C_0603,2,15pF
9,CON1,USB_Micro,1,USB-MINI-B
10,M1,ESP-32S,1,ESP-WROOM-32
11,"R2,R10,R1,R12",R_0603,4,10K
12,"R6,R13,R15",R_0603,3,1K
13,"R7,R9,R3,R4,R5,R11",R_0603,6,0E
14,R8,R_0603,1,100K
15,"R19,R20",R_0603,2,12K
16,"SW1,SW2",smd_push2_New,2,SW_PUSH
17,U2,Logo_silk_OSHW_6x6mm,1,OSH_Symbol
18,U4,Logo_8,1,EE_Logo
19,Y1,SMD_RTC_Crstl,1,32.768KHz RTC Crystal
20,"Q3,Q4",SOT-23,2,S8050
21,F1,Fuse_500mA,1,500mA
22,U9,QFN28,1,CP2102-GMR
23,C9,C_1206,1,0.1uF
24,"U10,U13",3.5mm_Jack,2,3.5MM_JACK
25,U11,SOIC-8_3.9x4.9mm_Pitch1.27mm,1,MAX6675
26,"P2,P3",Thermocouple Connector,2,CONN_01X02
27,U3,Hornbill IDL,1,EE_Logo
28,C10,CP_Radial_D4.0mm_P2.00mm,1,10uF
29,C11,C_0603,1,1uF
30,C12,C_0603,1,2.2uF
31,"C13,C14",C_0603,2,4.7uF
32,D1,SOD-80_diode_1,1,BAT20J
33,IC1,SOT-23-5,1,MCP73831
34,P1,JST_SMD,1,LIPO
35,Q1,SOT-23,1,IRLML5203
36,R14,R_0603,1,2K
37,U1,Micro_SD,1,SD_Crard
38,U12,SOT-23-5,1,AP2112K
39,D4,LED-0603,1,Yellow
,,,,
